Site,Attacked,Treatment
1,0,A
2,0,A
3,0,A
4,0,A
5,0,A
6,0,A
7,0,A
8,1,A
9,2,A
10,1,A
11,0,A
12,0,A
14,0,A
15,0,A
16,0,A
17,0,A
18,0,A
19,0,A
20,0,A
21,1,A
22,0,A
23,0,A
24,0,A
25,0,A
26,0,A
27,0,A
28,0,A
29,0,A
30,0,A
31,0,A
32,0,A
33,0,A
34,0,A
35,0,A
36,0,A
37,0,A
38,0,A
39,0,A
40,0,A
41,0,A
42,0,A
43,0,A
44,0,A
45,0,A
46,0,A
47,0,A
48,0,A
49,0,A
50,0,A
51,0,A
52,0,A
53,0,A
54,0,A
55,0,A
56,0,A
57,0,A
58,0,A
59,0,A
60,0,A
61,0,A
62,1,A
63,0,A
64,1,A
65,0,A
66,1,A
67,0,A
68,0,A
69,0,A
70,0,A
71,0,A
72,0,A
73,0,A
74,0,A
75,0,A
76,0,A
77,0,A
78,0,A
79,0,A
80,0,A
81,0,A
82,0,A
83,0,A
84,0,A
85,0,A
86,0,A
87,0,A
88,0,A
89,0,A
90,0,A
91,1,A
92,0,A
93,0,A
94,0,A
95,0,A
96,0,A
97,0,A
98,0,A
99,0,A
100,0,A
101,0,A
1,0,L
2,0,L
3,1,L
4,0,L
5,0,L
6,0,L
7,0,L
8,1,L
9,4,L
10,0,L
11,0,L
12,0,L
14,0,L
15,0,L
16,0,L
17,0,L
18,1,L
19,0,L
20,0,L
21,0,L
22,0,L
23,0,L
24,0,L
25,3,L
26,0,L
27,0,L
28,0,L
29,0,L
30,0,L
31,0,L
32,0,L
33,0,L
34,0,L
35,0,L
36,0,L
37,0,L
38,0,L
39,0,L
40,0,L
41,0,L
42,0,L
43,0,L
44,0,L
45,0,L
46,0,L
47,0,L
48,0,L
49,0,L
50,0,L
51,0,L
52,0,L
53,0,L
54,0,L
55,0,L
56,0,L
57,0,L
58,0,L
59,0,L
60,0,L
61,0,L
62,0,L
63,0,L
64,0,L
65,1,L
66,0,L
67,1,L
68,0,L
69,1,L
70,0,L
71,0,L
72,0,L
73,0,L
74,0,L
75,0,L
76,0,L
77,0,L
78,0,L
79,0,L
80,0,L
81,0,L
82,0,L
83,0,L
84,0,L
85,0,L
86,0,L
87,0,L
88,1,L
89,0,L
90,0,L
91,0,L
92,0,L
93,0,L
94,0,L
95,0,L
96,1,L
97,0,L
98,0,L
99,0,L
100,0,L
101,0,L
1,0,W
2,0,W
3,0,W
4,0,W
5,0,W
6,0,W
7,1,W
8,3,W
9,3,W
10,0,W
11,0,W
12,0,W
14,0,W
15,0,W
16,0,W
17,0,W
18,0,W
19,0,W
20,0,W
21,2,W
22,0,W
23,0,W
24,1,W
25,3,W
26,0,W
27,0,W
28,0,W
29,0,W
30,0,W
31,0,W
32,1,W
33,0,W
34,0,W
35,0,W
36,0,W
37,0,W
38,0,W
39,0,W
40,0,W
41,1,W
42,0,W
43,0,W
44,0,W
45,0,W
46,0,W
47,0,W
48,1,W
49,0,W
50,0,W
51,0,W
52,0,W
53,0,W
54,0,W
55,0,W
56,0,W
57,0,W
58,0,W
59,0,W
60,0,W
61,0,W
62,0,W
63,0,W
64,0,W
65,0,W
66,0,W
67,0,W
68,0,W
69,0,W
70,0,W
71,0,W
72,0,W
73,0,W
74,0,W
75,0,W
76,0,W
77,2,W
78,0,W
79,0,W
80,0,W
81,0,W
82,0,W
83,0,W
84,0,W
85,0,W
86,0,W
87,0,W
88,1,W
89,0,W
90,0,W
91,0,W
92,0,W
93,0,W
94,0,W
95,0,W
96,0,W
97,0,W
98,0,W
99,0,W
100,0,W
101,0,W
1,0,J
2,0,J
3,0,J
4,0,J
5,0,J
6,0,J
7,0,J
8,0,J
9,4,J
10,0,J
11,1,J
12,0,J
14,0,J
15,0,J
16,0,J
17,0,J
18,0,J
19,3,J
20,0,J
21,0,J
22,0,J
23,0,J
24,0,J
25,3,J
26,0,J
27,0,J
28,0,J
29,0,J
30,0,J
31,0,J
32,0,J
33,0,J
34,0,J
35,0,J
36,0,J
37,0,J
38,0,J
39,0,J
40,0,J
41,0,J
42,0,J
43,0,J
44,0,J
45,0,J
46,0,J
47,0,J
48,0,J
49,0,J
50,0,J
51,0,J
52,0,J
53,0,J
54,0,J
55,0,J
56,0,J
57,0,J
58,0,J
59,0,J
60,0,J
61,0,J
62,0,J
63,0,J
64,1,J
65,0,J
66,0,J
67,1,J
68,0,J
69,0,J
70,1,J
71,0,J
72,0,J
73,0,J
74,0,J
75,0,J
76,0,J
77,0,J
78,0,J
79,0,J
80,0,J
81,0,J
82,0,J
83,0,J
84,0,J
85,0,J
86,0,J
87,0,J
88,0,J
89,0,J
90,0,J
91,0,J
92,0,J
93,0,J
94,0,J
95,0,J
96,0,J
97,0,J
98,0,J
99,0,J
100,0,J
101,0,J